[2024-11-18 17:07:04,664: INFO: main: Logging is implemented]
[2024-11-19 15:24:31,084: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 15:28:26,853: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 15:28:51,002: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 15:30:02,333: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 15:30:09,311: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 15:50:51,506: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 15:50:51,512: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-19 15:50:51,513: INFO: common: created directory at: artifacts]
[2024-11-19 15:50:51,514: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-19 15:50:52,761: INFO: 1454106726: File is downloaded]
[2024-11-19 16:37:45,831: INFO: main: stage Data Ingestion stage initiated]
[2024-11-19 16:37:45,832: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 16:37:45,833: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-19 16:37:45,833: INFO: common: created directory at: artifacts]
[2024-11-19 16:37:45,833: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-19 16:37:45,833: INFO: data_ingestion: File already exits]
[2024-11-19 16:37:46,021: INFO: main: Stage {STAGE_NAME} Completed]
[2024-11-19 21:16:21,701: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 21:16:21,711: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-19 21:16:21,713: INFO: common: created directory at: artifacts]
[2024-11-19 21:16:21,715: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-19 21:16:23,711: INFO: 1454106726: File is downloaded]
[2024-11-19 21:24:10,651: INFO: main: stage Data Ingestion stage initiated]
[2024-11-19 21:24:10,652: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-11-19 21:24:10,653: INFO: common: yaml file: params.yaml loaded successfully]
